Base;Fecha;Año;Mes;Temperatura
Carlini;1/1/2001;2001;1;2
Carlini;1/2/2001;2001;2;1
Carlini;1/3/2001;2001;3;0
Carlini;1/4/2001;2001;4;-3
Carlini;1/5/2001;2001;5;-5
Carlini;1/6/2001;2001;6;-8
Carlini;1/7/2001;2001;7;-9
Carlini;1/8/2001;2001;8;-7
Carlini;1/9/2001;2001;9;-4
Carlini;1/10/2001;2001;10;-1
Carlini;1/11/2001;2001;11;0
Carlini;1/12/2001;2001;12;1
Esperanza;1/1/2001;2001;1;2
Esperanza;1/2/2001;2001;2;1
Esperanza;1/3/2001;2001;3;0
Esperanza;1/4/2001;2001;4;-3
Esperanza;1/5/2001;2001;5;-5
Esperanza;1/6/2001;2001;6;-8
Esperanza;1/7/2001;2001;7;-9
Esperanza;1/8/2001;2001;8;-7
Esperanza;1/9/2001;2001;9;-4
Esperanza;1/10/2001;2001;10;-1
Esperanza;1/11/2001;2001;11;0
Esperanza;1/12/2001;2001;12;1
Marambio;1/1/2001;2001;1;-1
Marambio;1/2/2001;2001;2;-2
Marambio;1/3/2001;2001;3;-4
Marambio;1/4/2001;2001;4;-7
Marambio;1/5/2001;2001;5;-9
Marambio;1/6/2001;2001;6;-12
Marambio;1/7/2001;2001;7;-13
Marambio;1/8/2001;2001;8;-11
Marambio;1/9/2001;2001;9;-8
Marambio;1/10/2001;2001;10;-5
Marambio;1/11/2001;2001;11;-4
Marambio;1/12/2001;2001;12;-3
Orcadas;1/1/2001;2001;1;-2
Orcadas;1/2/2001;2001;2;-3
Orcadas;1/3/2001;2001;3;-5
Orcadas;1/4/2001;2001;4;-8
Orcadas;1/5/2001;2001;5;-10
Orcadas;1/6/2001;2001;6;-13
Orcadas;1/7/2001;2001;7;-14
Orcadas;1/8/2001;2001;8;-12
Orcadas;1/9/2001;2001;9;-9
Orcadas;1/10/2001;2001;10;-6
Orcadas;1/11/2001;2001;11;-5
Orcadas;1/12/2001;2001;12;-4
San Martín;1/1/2001;2001;1;3
San Martín;1/2/2001;2001;2;2
San Martín;1/3/2001;2001;3;1
San Martín;1/4/2001;2001;4;-2
San Martín;1/5/2001;2001;5;-4
San Martín;1/6/2001;2001;6;-7
San Martín;1/7/2001;2001;7;-8
San Martín;1/8/2001;2001;8;-6
San Martín;1/9/2001;2001;9;-3
San Martín;1/10/2001;2001;10;0
San Martín;1/11/2001;2001;11;1
San Martín;1/12/2001;2001;12;2
Belgrano II;1/1/2001;2001;1;-6
Belgrano II;1/2/2001;2001;2;-7
Belgrano II;1/3/2001;2001;3;-9
Belgrano II;1/4/2001;2001;4;-12
Belgrano II;1/5/2001;2001;5;-14
Belgrano II;1/6/2001;2001;6;-17
Belgrano II;1/7/2001;2001;7;-18
Belgrano II;1/8/2001;2001;8;-16
Belgrano II;1/9/2001;2001;9;-13
Belgrano II;1/10/2001;2001;10;-10
Belgrano II;1/11/2001;2001;11;-9
Belgrano II;1/12/2001;2001;12;-8
Cámara;1/1/2001;2001;1;1
Cámara;1/2/2001;2001;2;0
Cámara;1/3/2001;2001;3;-1
Cámara;1/4/2001;2001;4;-4
Cámara;1/5/2001;2001;5;-6
Cámara;1/6/2001;2001;6;-9
Cámara;1/7/2001;2001;7;-10
Cámara;1/8/2001;2001;8;-8
Cámara;1/9/2001;2001;9;-5
Cámara;1/10/2001;2001;10;-2
Cámara;1/11/2001;2001;11;-1
Cámara;1/12/2001;2001;12;0
Decepción;1/1/2001;2001;1;0
Decepción;1/2/2001;2001;2;-1
Decepción;1/3/2001;2001;3;-3
Decepción;1/4/2001;2001;4;-6
Decepción;1/5/2001;2001;5;-8
Decepción;1/6/2001;2001;6;-11
Decepción;1/7/2001;2001;7;-12
Decepción;1/8/2001;2001;8;-10
Decepción;1/9/2001;2001;9;-7
Decepción;1/10/2001;2001;10;-4
Decepción;1/11/2001;2001;11;-3
Decepción;1/12/2001;2001;12;-2
Primavera;1/1/2001;2001;1;1
Primavera;1/2/2001;2001;2;0
Primavera;1/3/2001;2001;3;-1
Primavera;1/4/2001;2001;4;-4
Primavera;1/5/2001;2001;5;-6
Primavera;1/6/2001;2001;6;-9
Primavera;1/7/2001;2001;7;-10
Primavera;1/8/2001;2001;8;-8
Primavera;1/9/2001;2001;9;-5
Primavera;1/10/2001;2001;10;-2
Primavera;1/11/2001;2001;11;-1
Primavera;1/12/2001;2001;12;0
Melchior;1/1/2001;2001;1;-4
Melchior;1/2/2001;2001;2;-5
Melchior;1/3/2001;2001;3;-7
Melchior;1/4/2001;2001;4;-10
Melchior;1/5/2001;2001;5;-12
Melchior;1/6/2001;2001;6;-15
Melchior;1/7/2001;2001;7;-16
Melchior;1/8/2001;2001;8;-14
Melchior;1/9/2001;2001;9;-11
Melchior;1/10/2001;2001;10;-8
Melchior;1/11/2001;2001;11;-7
Melchior;1/12/2001;2001;12;-6
Brown;1/1/2001;2001;1;-5
Brown;1/2/2001;2001;2;-6
Brown;1/3/2001;2001;3;-8
Brown;1/4/2001;2001;4;-11
Brown;1/5/2001;2001;5;-13
Brown;1/6/2001;2001;6;-16
Brown;1/7/2001;2001;7;-17
Brown;1/8/2001;2001;8;-15
Brown;1/9/2001;2001;9;-12
Brown;1/10/2001;2001;10;-9
Brown;1/11/2001;2001;11;-8
Brown;1/12/2001;2001;12;-7
Petrel;1/1/2001;2001;1;-4
Petrel;1/2/2001;2001;2;-5
Petrel;1/3/2001;2001;3;-7
Petrel;1/4/2001;2001;4;-10
Petrel;1/5/2001;2001;5;-12
Petrel;1/6/2001;2001;6;-15
Petrel;1/7/2001;2001;7;-16
Petrel;1/8/2001;2001;8;-14
Petrel;1/9/2001;2001;9;-11
Petrel;1/10/2001;2001;10;-8
Petrel;1/11/2001;2001;11;-7
Petrel;1/12/2001;2001;12;-6
Matienzo;1/1/2001;2001;1;-1
Matienzo;1/2/2001;2001;2;-2
Matienzo;1/3/2001;2001;3;-4
Matienzo;1/4/2001;2001;4;-7
Matienzo;1/5/2001;2001;5;-9
Matienzo;1/6/2001;2001;6;-12
Matienzo;1/7/2001;2001;7;-13
Matienzo;1/8/2001;2001;8;-11
Matienzo;1/9/2001;2001;9;-8
Matienzo;1/10/2001;2001;10;-5
Matienzo;1/11/2001;2001;11;-4
Matienzo;1/12/2001;2001;12;-3
Esperanza;1/1/2002;2002;1;3
Esperanza;1/2/2002;2002;2;2
Esperanza;1/3/2002;2002;3;1
Esperanza;1/4/2002;2002;4;-2
Esperanza;1/5/2002;2002;5;-4
Esperanza;1/6/2002;2002;6;-7
Esperanza;1/7/2002;2002;7;-8
Esperanza;1/8/2002;2002;8;-6
Esperanza;1/9/2002;2002;9;-3
Esperanza;1/10/2002;2002;10;0
Esperanza;1/11/2002;2002;11;1
Esperanza;1/12/2002;2002;12;2
Marambio;1/1/2002;2002;1;0
Marambio;1/2/2002;2002;2;-1
Marambio;1/3/2002;2002;3;-3
Marambio;1/4/2002;2002;4;-6
Marambio;1/5/2002;2002;5;-8
Marambio;1/6/2002;2002;6;-11
Marambio;1/7/2002;2002;7;-12
Marambio;1/8/2002;2002;8;-10
Marambio;1/9/2002;2002;9;-7
Marambio;1/10/2002;2002;10;-4
Marambio;1/11/2002;2002;11;-3
Marambio;1/12/2002;2002;12;-2
Orcadas;1/1/2002;2002;1;-1
Orcadas;1/2/2002;2002;2;-2
Orcadas;1/3/2002;2002;3;-4
Orcadas;1/4/2002;2002;4;-7
Orcadas;1/5/2002;2002;5;-9
Orcadas;1/6/2002;2002;6;-12
Orcadas;1/7/2002;2002;7;-13
Orcadas;1/8/2002;2002;8;-11
Orcadas;1/9/2002;2002;9;-8
Orcadas;1/10/2002;2002;10;-5
Orcadas;1/11/2002;2002;11;-4
Orcadas;1/12/2002;2002;12;-3
San Martín;1/1/2002;2002;1;4
San Martín;1/2/2002;2002;2;3
San Martín;1/3/2002;2002;3;2
San Martín;1/4/2002;2002;4;-1
San Martín;1/5/2002;2002;5;-3
San Martín;1/6/2002;2002;6;-6
San Martín;1/7/2002;2002;7;-7
San Martín;1/8/2002;2002;8;-5
San Martín;1/9/2002;2002;9;-2
San Martín;1/10/2002;2002;10;1
San Martín;1/11/2002;2002;11;2
San Martín;1/12/2002;2002;12;3
Belgrano II;1/1/2002;2002;1;-5
Belgrano II;1/2/2002;2002;2;-6
Belgrano II;1/3/2002;2002;3;-8
Belgrano II;1/4/2002;2002;4;-11
Belgrano II;1/5/2002;2002;5;-13
Belgrano II;1/6/2002;2002;6;-16
Belgrano II;1/7/2002;2002;7;-17
Belgrano II;1/8/2002;2002;8;-15
Belgrano II;1/9/2002;2002;9;-12
Belgrano II;1/10/2002;2002;10;-9
Belgrano II;1/11/2002;2002;11;-8
Belgrano II;1/12/2002;2002;12;-7
Cámara;1/1/2002;2002;1;2
Cámara;1/2/2002;2002;2;1
Cámara;1/3/2002;2002;3;0
Cámara;1/4/2002;2002;4;-3
Cámara;1/5/2002;2002;5;-5
Cámara;1/6/2002;2002;6;-8
Cámara;1/7/2002;2002;7;-9
Cámara;1/8/2002;2002;8;-7
Cámara;1/9/2002;2002;9;-4
Cámara;1/10/2002;2002;10;-1
Cámara;1/11/2002;2002;11;0
Cámara;1/12/2002;2002;12;1
Decepción;1/1/2002;2002;1;1
Decepción;1/2/2002;2002;2;0
Decepción;1/3/2002;2002;3;-2
Decepción;1/4/2002;2002;4;-5
Decepción;1/5/2002;2002;5;-7
Decepción;1/6/2002;2002;6;-10
Decepción;1/7/2002;2002;7;-11
Decepción;1/8/2002;2002;8;-9
Decepción;1/9/2002;2002;9;-6
Decepción;1/10/2002;2002;10;-3
Decepción;1/11/2002;2002;11;-2
Decepción;1/12/2002;2002;12;-1
Primavera;1/1/2002;2002;1;2
Primavera;1/2/2002;2002;2;1
Primavera;1/3/2002;2002;3;0
Primavera;1/4/2002;2002;4;-3
Primavera;1/5/2002;2002;5;-5
Primavera;1/6/2002;2002;6;-8
Primavera;1/7/2002;2002;7;-9
Primavera;1/8/2002;2002;8;-7
Primavera;1/9/2002;2002;9;-4
Primavera;1/10/2002;2002;10;-1
Primavera;1/11/2002;2002;11;0
Primavera;1/12/2002;2002;12;1
Melchior;1/1/2002;2002;1;-3
Melchior;1/2/2002;2002;2;-4
Melchior;1/3/2002;2002;3;-6
Melchior;1/4/2002;2002;4;-9
Melchior;1/5/2002;2002;5;-11
Melchior;1/6/2002;2002;6;-14
Melchior;1/7/2002;2002;7;-15
Melchior;1/8/2002;2002;8;-13
Melchior;1/9/2002;2002;9;-10
Melchior;1/10/2002;2002;10;-7
Melchior;1/11/2002;2002;11;-6
Melchior;1/12/2002;2002;12;-5
Brown;1/1/2002;2002;1;-4
Brown;1/2/2002;2002;2;-5
Brown;1/3/2002;2002;3;-7
Brown;1/4/2002;2002;4;-10
Brown;1/5/2002;2002;5;-12
Brown;1/6/2002;2002;6;-15
Brown;1/7/2002;2002;7;-16
Brown;1/8/2002;2002;8;-14
Brown;1/9/2002;2002;9;-11
Brown;1/10/2002;2002;10;-8
Brown;1/11/2002;2002;11;-7
Brown;1/12/2002;2002;12;-6
Petrel;1/1/2002;2002;1;-3
Petrel;1/2/2002;2002;2;-4
Petrel;1/3/2002;2002;3;-6
Petrel;1/4/2002;2002;4;-9
Petrel;1/5/2002;2002;5;-11
Petrel;1/6/2002;2002;6;-14
Petrel;1/7/2002;2002;7;-15
Petrel;1/8/2002;2002;8;-13
Petrel;1/9/2002;2002;9;-10
Petrel;1/10/2002;2002;10;-7
Petrel;1/11/2002;2002;11;-6
Petrel;1/12/2002;2002;12;-5
Matienzo;1/1/2002;2002;1;0
Matienzo;1/2/2002;2002;2;-1
Matienzo;1/3/2002;2002;3;-3
Matienzo;1/4/2002;2002;4;-6
Matienzo;1/5/2002;2002;5;-8
Matienzo;1/6/2002;2002;6;-11
Matienzo;1/7/2002;2002;7;-12
Matienzo;1/8/2002;2002;8;-10
Matienzo;1/9/2002;2002;9;-7
Matienzo;1/10/2002;2002;10;-4
Matienzo;1/11/2002;2002;11;-3
Matienzo;1/12/2002;2002;12;-2
Carlini;1/1/2002;2002;1;2
Carlini;1/2/2002;2002;2;1
Carlini;1/3/2002;2002;3;0
Carlini;1/4/2002;2002;4;-3
Carlini;1/5/2002;2002;5;-5
Carlini;1/6/2002;2002;6;-8
Carlini;1/7/2002;2002;7;-9
Carlini;1/8/2002;2002;8;-7
Carlini;1/9/2002;2002;9;-4
Carlini;1/10/2002;2002;10;-1
Carlini;1/11/2002;2002;11;0
Carlini;1/12/2002;2002;12;1
Carlini;1/1/2003;2003;1;-1
Carlini;1/2/2003;2003;2;-3
Carlini;1/3/2003;2003;3;-5
Carlini;1/4/2003;2003;4;-8
Carlini;1/5/2003;2003;5;-10
Carlini;1/6/2003;2003;6;-13
Carlini;1/7/2003;2003;7;-15
Carlini;1/8/2003;2003;8;-13
Carlini;1/9/2003;2003;9;-10
Carlini;1/10/2003;2003;10;-7
Carlini;1/11/2003;2003;11;-5
Carlini;1/12/2003;2003;12;-2
Esperanza;1/1/2003;2003;1;1
Esperanza;1/2/2003;2003;2;-1
Esperanza;1/3/2003;2003;3;-3
Esperanza;1/4/2003;2003;4;-6
Esperanza;1/5/2003;2003;5;-8
Esperanza;1/6/2003;2003;6;-11
Esperanza;1/7/2003;2003;7;-13
Esperanza;1/8/2003;2003;8;-11
Esperanza;1/9/2003;2003;9;-8
Esperanza;1/10/2003;2003;10;-5
Esperanza;1/11/2003;2003;11;-3
Esperanza;1/12/2003;2003;12;0
Marambio;1/1/2003;2003;1;-2
Marambio;1/2/2003;2003;2;-4
Marambio;1/3/2003;2003;3;-6
Marambio;1/4/2003;2003;4;-9
Marambio;1/5/2003;2003;5;-11
Marambio;1/6/2003;2003;6;-14
Marambio;1/7/2003;2003;7;-16
Marambio;1/8/2003;2003;8;-14
Marambio;1/9/2003;2003;9;-11
Marambio;1/10/2003;2003;10;-8
Marambio;1/11/2003;2003;11;-6
Marambio;1/12/2003;2003;12;-3
Orcadas;1/1/2003;2003;1;-3
Orcadas;1/2/2003;2003;2;-5
Orcadas;1/3/2003;2003;3;-7
Orcadas;1/4/2003;2003;4;-10
Orcadas;1/5/2003;2003;5;-12
Orcadas;1/6/2003;2003;6;-15
Orcadas;1/7/2003;2003;7;-17
Orcadas;1/8/2003;2003;8;-15
Orcadas;1/9/2003;2003;9;-12
Orcadas;1/10/2003;2003;10;-9
Orcadas;1/11/2003;2003;11;-7
Orcadas;1/12/2003;2003;12;-4
San Martín;1/1/2003;2003;1;2
San Martín;1/2/2003;2003;2;0
San Martín;1/3/2003;2003;3;-2
San Martín;1/4/2003;2003;4;-5
San Martín;1/5/2003;2003;5;-7
San Martín;1/6/2003;2003;6;-10
San Martín;1/7/2003;2003;7;-12
San Martín;1/8/2003;2003;8;-10
San Martín;1/9/2003;2003;9;-7
San Martín;1/10/2003;2003;10;-4
San Martín;1/11/2003;2003;11;-2
San Martín;1/12/2003;2003;12;1
Belgrano II;1/1/2003;2003;1;-6
Belgrano II;1/2/2003;2003;2;-8
Belgrano II;1/3/2003;2003;3;-10
Belgrano II;1/4/2003;2003;4;-13
Belgrano II;1/5/2003;2003;5;-15
Belgrano II;1/6/2003;2003;6;-18
Belgrano II;1/7/2003;2003;7;-20
Belgrano II;1/8/2003;2003;8;-18
Belgrano II;1/9/2003;2003;9;-15
Belgrano II;1/10/2003;2003;10;-12
Belgrano II;1/11/2003;2003;11;-10
Belgrano II;1/12/2003;2003;12;-7
Cámara;1/1/2003;2003;1;0
Cámara;1/2/2003;2003;2;-2
Cámara;1/3/2003;2003;3;-4
Cámara;1/4/2003;2003;4;-7
Cámara;1/5/2003;2003;5;-9
Cámara;1/6/2003;2003;6;-12
Cámara;1/7/2003;2003;7;-14
Cámara;1/8/2003;2003;8;-12
Cámara;1/9/2003;2003;9;-9
Cámara;1/10/2003;2003;10;-6
Cámara;1/11/2003;2003;11;-4
Cámara;1/12/2003;2003;12;-1
Decepción;1/1/2003;2003;1;-1
Decepción;1/2/2003;2003;2;-3
Decepción;1/3/2003;2003;3;-5
Decepción;1/4/2003;2003;4;-8
Decepción;1/5/2003;2003;5;-10
Decepción;1/6/2003;2003;6;-13
Decepción;1/7/2003;2003;7;-15
Decepción;1/8/2003;2003;8;-13
Decepción;1/9/2003;2003;9;-10
Decepción;1/10/2003;2003;10;-7
Decepción;1/11/2003;2003;11;-5
Decepción;1/12/2003;2003;12;-2
Primavera;1/1/2003;2003;1;1
Primavera;1/2/2003;2003;2;-1
Primavera;1/3/2003;2003;3;-3
Primavera;1/4/2003;2003;4;-6
Primavera;1/5/2003;2003;5;-8
Primavera;1/6/2003;2003;6;-11
Primavera;1/7/2003;2003;7;-13
Primavera;1/8/2003;2003;8;-11
Primavera;1/9/2003;2003;9;-8
Primavera;1/10/2003;2003;10;-5
Primavera;1/11/2003;2003;11;-3
Primavera;1/12/2003;2003;12;0
Melchior;1/1/2003;2003;1;-4
Melchior;1/2/2003;2003;2;-6
Melchior;1/3/2003;2003;3;-8
Melchior;1/4/2003;2003;4;-11
Melchior;1/5/2003;2003;5;-13
Melchior;1/6/2003;2003;6;-16
Melchior;1/7/2003;2003;7;-18
Melchior;1/8/2003;2003;8;-16
Melchior;1/9/2003;2003;9;-13
Melchior;1/10/2003;2003;10;-10
Melchior;1/11/2003;2003;11;-8
Melchior;1/12/2003;2003;12;-5
Brown;1/1/2003;2003;1;-5
Brown;1/2/2003;2003;2;-7
Brown;1/3/2003;2003;3;-9
Brown;1/4/2003;2003;4;-12
Brown;1/5/2003;2003;5;-14
Brown;1/6/2003;2003;6;-17
Brown;1/7/2003;2003;7;-19
Brown;1/8/2003;2003;8;-17
Brown;1/9/2003;2003;9;-14
Brown;1/10/2003;2003;10;-11
Brown;1/11/2003;2003;11;-9
Brown;1/12/2003;2003;12;-6
Petrel;1/1/2003;2003;1;-4
Petrel;1/2/2003;2003;2;-6
Petrel;1/3/2003;2003;3;-8
Petrel;1/4/2003;2003;4;-11
Petrel;1/5/2003;2003;5;-13
Petrel;1/6/2003;2003;6;-16
Petrel;1/7/2003;2003;7;-18
Petrel;1/8/2003;2003;8;-16
Petrel;1/9/2003;2003;9;-13
Petrel;1/10/2003;2003;10;-10
Petrel;1/11/2003;2003;11;-8
Petrel;1/12/2003;2003;12;-5
Matienzo;1/1/2003;2003;1;-2
Matienzo;1/2/2003;2003;2;-4
Matienzo;1/3/2003;2003;3;-6
Matienzo;1/4/2003;2003;4;-9
Matienzo;1/5/2003;2003;5;-11
Matienzo;1/6/2003;2003;6;-14
Matienzo;1/7/2003;2003;7;-16
Matienzo;1/8/2003;2003;8;-14
Matienzo;1/9/2003;2003;9;-11
Matienzo;1/10/2003;2003;10;-8
Matienzo;1/11/2003;2003;11;-6
Matienzo;1/12/2003;2003;12;-3
Carlini;1/1/2004;2004;1;0
Carlini;1/2/2004;2004;2;-2
Carlini;1/3/2004;2004;3;-4
Carlini;1/4/2004;2004;4;-7
Carlini;1/5/2004;2004;5;-9
Carlini;1/6/2004;2004;6;-12
Carlini;1/7/2004;2004;7;-14
Carlini;1/8/2004;2004;8;-13
Carlini;1/9/2004;2004;9;-10
Carlini;1/10/2004;2004;10;-7
Carlini;1/11/2004;2004;11;-5
Carlini;1/12/2004;2004;12;-2
Esperanza;1/1/2004;2004;1;1
Esperanza;1/2/2004;2004;2;-1
Esperanza;1/3/2004;2004;3;-3
Esperanza;1/4/2004;2004;4;-6
Esperanza;1/5/2004;2004;5;-8
Esperanza;1/6/2004;2004;6;-11
Esperanza;1/7/2004;2004;7;-13
Esperanza;1/8/2004;2004;8;-12
Esperanza;1/9/2004;2004;9;-9
Esperanza;1/10/2004;2004;10;-6
Esperanza;1/11/2004;2004;11;-4
